loss,mean_absolute_error,val_loss,val_mean_absolute_error
0.3018287420272827,0.4659591317176819,0.4005785584449768,0.5952215194702148
0.2757489085197449,0.4400918185710907,0.36476442217826843,0.5648658275604248
0.23570996522903442,0.40095558762550354,0.317849338054657,0.5226724147796631
0.18735072016716003,0.34957507252693176,0.267050564289093,0.4728335440158844
0.14903846383094788,0.3059612810611725,0.21688617765903473,0.4177153706550598
0.1146480068564415,0.26857641339302063,0.16659218072891235,0.3555959165096283
0.08389818668365479,0.23275122046470642,0.12092417478561401,0.2942972779273987
0.06038800999522209,0.20122680068016052,0.08566831797361374,0.24375542998313904
0.04529467597603798,0.17599716782569885,0.06363124400377274,0.20878560841083527
0.035824716091156006,0.15570059418678284,0.051567357033491135,0.18691371381282806
0.028808852657675743,0.13781626522541046,0.044471438974142075,0.17237494885921478
0.023043908178806305,0.12124018371105194,0.03924653306603432,0.160630002617836
0.018392570316791534,0.10632289201021194,0.035305868834257126,0.15113325417041779
0.014753690920770168,0.09366016089916229,0.03169200196862221,0.14229533076286316
0.011968090198934078,0.08333157747983932,0.028952952474355698,0.1359688639640808
0.0098479725420475,0.0750136524438858,0.026308583095669746,0.12998156249523163
0.008203648962080479,0.06825581938028336,0.02333120070397854,0.1228051409125328
0.006895157042890787,0.06251674145460129,0.021466555073857307,0.11888615787029266
0.005840493831783533,0.05751846358180046,0.019681215286254883,0.11476156115531921
0.00499635050073266,0.05313042923808098,0.01769726723432541,0.109464131295681
