Bearing,Model_type,Model,DAC
Bearing1_1,SNGP,Case 1 (SNGP),-0.16339055949644532
Bearing1_1,SNGP,Case 2 (SNGP),0.23544513881946544
Bearing1_1,SNGP,Case 3 (SNGP),0.5428817995855123
Bearing1_1,SNGP,Case 4 (SNGP),0.41816086461144797
Bearing1_1,SNER,Case 1 (SNER),
Bearing1_1,SNER,Case 2 (SNER),
Bearing1_1,SNER,Case 3 (SNER),
Bearing1_1,SNER,Case 4 (SNER),0.47566179761910027
