loss,data_loss,physics_loss
-1.9115113019943237,-2.3920962810516357,-0.8637276291847229
-2.4491820335388184,-2.9483113288879395,-1.3280251026153564
-2.35428524017334,-2.9988768100738525,-0.9914107918739319
-2.503997325897217,-3.1032299995422363,-1.1221798658370972
-2.7900547981262207,-3.6398847103118896,-0.8602739572525024
-2.609215259552002,-3.3805148601531982,-0.9296607971191406
-2.593043804168701,-3.1752564907073975,-1.3508204221725464
-2.8997879028320312,-3.7087066173553467,-1.0433151721954346
-3.034426689147949,-4.005739688873291,-0.8538892865180969
-3.273442268371582,-4.089423656463623,-1.406991720199585
-3.3797249794006348,-4.2822136878967285,-1.2592692375183105
-3.0276522636413574,-3.9906294345855713,-0.840933620929718
-3.234750509262085,-4.248243808746338,-1.1004494428634644
-3.2468719482421875,-4.309232234954834,-1.1811975240707397
-3.224909782409668,-3.9764392375946045,-1.3961719274520874
-3.0689759254455566,-4.000685214996338,-1.0552730560302734
-3.1683881282806396,-4.119485855102539,-1.1449626684188843
-2.837197780609131,-3.5581226348876953,-1.246036171913147
-3.4707162380218506,-4.395166397094727,-1.326426386833191
-3.2345762252807617,-4.155996799468994,-1.0928457975387573
