loss,data_loss,physics_loss
14231.2119140625,2049.993896484375,40851.0859375
13596.095703125,2171.21630859375,39363.56640625
12569.0185546875,1095.570068359375,38441.0546875
10118.2802734375,3778.6767578125,25113.390625
9186.400390625,1921.99169921875,26135.1171875
6345.494140625,491.550537109375,19801.4609375
6012.546875,751.1749267578125,17074.25390625
3039.786376953125,481.43182373046875,8640.220703125
3115.280517578125,138.93984985351562,9430.0185546875
4601.15283203125,195.92138671875,13847.7978515625
3185.900634765625,105.87802124023438,10165.7080078125
2179.615966796875,235.7281494140625,6234.515625
2973.422607421875,1178.377685546875,7038.52734375
3526.522216796875,1328.4862060546875,8421.212890625
2335.0947265625,221.36737060546875,6870.52490234375
1391.1839599609375,333.7928161621094,3687.061767578125
4189.75439453125,709.536865234375,11315.42578125
1615.16650390625,527.790771484375,4061.21240234375
1430.55078125,326.73663330078125,3917.365478515625
2810.34814453125,303.7950439453125,7931.96484375
1169.069580078125,201.6393585205078,3421.51904296875
1051.438720703125,334.0738525390625,2657.81640625
1099.748046875,48.78765869140625,3463.26171875
1161.2879638671875,71.88282775878906,3642.716064453125
1412.218505859375,134.2891845703125,4337.74951171875
1205.47705078125,12.097757339477539,3936.11865234375
807.1143798828125,45.93939208984375,2687.388427734375
817.8180541992188,270.0040588378906,2090.0302734375
1238.8173828125,157.92686462402344,3790.417724609375
1314.9166259765625,190.58956909179688,3839.33642578125
925.9803466796875,161.95265197753906,2601.50390625
984.9574584960938,501.9122314453125,2088.36865234375
740.3134155273438,106.93862915039062,2172.419677734375
598.7442626953125,52.12712860107422,1875.802978515625
424.280517578125,48.948883056640625,1252.091796875
380.1982727050781,99.11705017089844,1089.759765625
283.1454772949219,107.02748107910156,654.615234375
3563.379638671875,6.796641826629639,11923.3310546875
1877.5732421875,74.6412353515625,6212.7841796875
1697.253173828125,198.62252807617188,4972.6787109375
1707.84912109375,110.87004089355469,5348.7578125
1111.590087890625,212.6163330078125,3136.990234375
1013.4078979492188,20.731098175048828,3126.604736328125
926.042724609375,360.500244140625,2148.569091796875
908.634033203125,141.32931518554688,2544.1171875
526.2258911132812,222.3995361328125,1209.3768310546875
719.3310546875,101.84197998046875,1989.93505859375
303.69970703125,41.782901763916016,914.0687255859375
369.8314208984375,176.31968688964844,761.091796875
155.02256774902344,65.20404052734375,354.285400390625
