Bearing,Condition,Model,gamma,MSE,MAE,Score,lambda,dropout_rate,num_models
Bearing1_1,100Hz4kN,PG-SNGP,0.5,0.004069253966911872,0.054146510965079726,77.62159,,,
Bearing1_1,100Hz4kN,PG-SNGP,1.0,0.001323994938206276,0.02197818015705973,28.822407,,,
Bearing1_1,100Hz4kN,PG-SNGP,2.0,0.00865403477661859,0.07627895534292141,89.0418,,,
Bearing1_1,100Hz4kN,PG-SNER,,0.0017924851536812727,0.03217786921324618,36.731293,0.2,,
Bearing1_1,100Hz4kN,PG-SNER,,0.0016376270568832655,0.02817075685339442,39.6381,0.5,,
Bearing1_1,100Hz4kN,PG-SNER,,0.0019104787346774976,0.02638854781096789,37.185936,1.0,,
Bearing1_1,100Hz4kN,PG-MC,,0.006710741342192481,0.04757873867911595,61.48598,,0.1,
Bearing1_1,100Hz4kN,PG-MC,,0.03327780529271499,0.10651052172124616,154.95862,,0.3,
Bearing1_1,100Hz4kN,PG-MC,,0.07165706034387298,0.20106538752043177,293.4707,,0.4,
Bearing1_1,100Hz4kN,PG-DE,,0.00315121248411563,0.042174302373008205,46.869614,,,10.0
Bearing1_1,100Hz4kN,PG-DE,,0.0017176093224384736,0.029846202409545414,33.300762,,,20.0
Bearing1_1,100Hz4kN,PG-DE,,0.001486902538704252,0.02928781622626628,34.01378,,,30.0
