loss,data_loss,physics_loss
30860.4609375,189.19168090820312,30671.26953125
24875.814453125,351.7254333496094,24524.08984375
23729.18359375,966.7260131835938,22762.45703125
14853.818359375,195.98672485351562,14657.83203125
8748.5263671875,757.7437133789062,7990.78271484375
8996.14453125,469.8636169433594,8526.28125
6865.876953125,504.66650390625,6361.21044921875
5107.75634765625,110.58204650878906,4997.17431640625
4059.053466796875,88.87730407714844,3970.17626953125
7184.69091796875,174.3564453125,7010.33447265625
5439.87744140625,934.2110595703125,4505.66650390625
3624.408447265625,373.32977294921875,3251.07861328125
2520.469970703125,457.61688232421875,2062.85302734375
5156.94091796875,702.7108764648438,4454.22998046875
1486.3543701171875,83.95669555664062,1402.397705078125
2024.1666259765625,35.42544174194336,1988.7412109375
2292.217041015625,80.48324584960938,2211.73388671875
1461.715087890625,154.10101318359375,1307.6141357421875
6154.19482421875,1043.529296875,5110.66552734375
1999.3408203125,363.42529296875,1635.91552734375
1653.0223388671875,45.861183166503906,1607.1611328125
1933.698974609375,50.598670959472656,1883.100341796875
1693.68359375,36.82078552246094,1656.86279296875
1590.836669921875,161.79864501953125,1429.0379638671875
1582.7545166015625,24.621734619140625,1558.1328125
1749.498779296875,227.77413940429688,1521.724609375
1962.089599609375,1112.3154296875,849.7741088867188
954.3233032226562,220.9495849609375,733.3737182617188
745.0972900390625,156.41970825195312,588.6776123046875
1670.0228271484375,1105.7325439453125,564.290283203125
693.797607421875,194.02459716796875,499.7729797363281
944.0191650390625,71.80935668945312,872.2097778320312
950.9310302734375,217.09600830078125,733.8350219726562
867.70947265625,64.57838439941406,803.131103515625
633.9388427734375,49.735015869140625,584.203857421875
459.554931640625,121.77653503417969,337.77838134765625
3555.78759765625,3127.613037109375,428.1746826171875
737.5350952148438,124.84273529052734,612.6923828125
750.6796875,459.0738830566406,291.6058044433594
1015.7119140625,23.37388038635254,992.3380126953125
834.56298828125,105.63182830810547,728.93115234375
936.3870849609375,220.32131958007812,716.0657348632812
452.3543701171875,129.42578125,322.9285888671875
249.51446533203125,77.20693969726562,172.30752563476562
905.9818725585938,751.4212646484375,154.5605926513672
185.5358428955078,35.13999938964844,150.39584350585938
239.84640502929688,85.55197143554688,154.29443359375
686.5167236328125,487.96185302734375,198.55484008789062
430.3130187988281,81.1586685180664,349.15435791015625
632.8829345703125,308.15478515625,324.7281494140625
