Bearing,Model,MSE,MAE,Score
Bearing1_1,Case 1 (LTC),0.035734411034404064,0.1539936049786168,192.74991
Bearing1_1,Case 2 (LTC),0.0013270924566422112,0.03171507304085485,36.72244
Bearing1_1,Case 3 (LTC),0.003207224314566618,0.04018977802313885,47.013145
Bearing1_1,Case 4 (LTC),0.004236772604644413,0.052001088746725536,59.247925
Bearing1_1,Case 1 (CFC),0.02965346008204555,0.13599752397657866,161.25244
Bearing1_1,Case 2 (CFC),0.002517074012743069,0.04169478833931637,47.628464
Bearing1_1,Case 3 (CFC),0.0029147421945499323,0.03120038011809796,36.79451
Bearing1_1,Case 4 (CFC),0.0016841512492823958,0.03356877694502591,39.410652
