loss,mean_absolute_error,val_loss,val_mean_absolute_error
0.33357474207878113,0.49893927574157715,0.4317460358142853,0.6209636330604553
0.2957718074321747,0.46007293462753296,0.3804582357406616,0.5784046649932861
0.2560955286026001,0.4183359444141388,0.3257707953453064,0.5290806293487549
0.21618393063545227,0.3768840432167053,0.27307042479515076,0.47661733627319336
0.1804652363061905,0.3406085968017578,0.22604620456695557,0.42439889907836914
0.1508222371339798,0.3115963637828827,0.18572890758514404,0.3739260733127594
0.12745417654514313,0.2899072766304016,0.1522212028503418,0.32924601435661316
0.10977724939584732,0.2735752463340759,0.12517721951007843,0.2929650843143463
0.09697506576776505,0.2616634666919708,0.10398245602846146,0.2642015516757965
0.08799222856760025,0.2527816891670227,0.08818549662828445,0.2423144280910492
0.08134252578020096,0.24522872269153595,0.07657511532306671,0.22529073059558868
0.07592429220676422,0.23796315491199493,0.06809429824352264,0.21176527440547943
0.07120034098625183,0.23057354986667633,0.061353761702775955,0.200127512216568
0.06665924191474915,0.22271916270256042,0.0559769906103611,0.1899455487728119
0.062125060707330704,0.21407188475131989,0.051139380782842636,0.18015854060649872
0.057494185864925385,0.20464694499969482,0.04670652747154236,0.17051264643669128
0.05270492658019066,0.19413445889949799,0.041969072073698044,0.1598813533782959
0.04778975248336792,0.1828317791223526,0.03769335523247719,0.1494525521993637
0.04296587035059929,0.1709488481283188,0.03347625955939293,0.1389855593442917
0.03833088278770447,0.15883223712444305,0.029485058039426804,0.12911367416381836
