loss,data_loss,physics_loss
0.0031752800568938255,0.0011577294208109379,0.007595425471663475
0.0021342686377465725,0.0009409860358573496,0.0049567315727472305
0.002448950195685029,0.00022925675148144364,0.007343483157455921
0.0021492899395525455,0.0002854043268598616,0.00632473174482584
0.002330013085156679,0.0006852559745311737,0.006095465738326311
0.0019611285533756018,6.146798841655254e-05,0.006305907387286425
0.001321380608715117,0.0001320686424151063,0.004254314117133617
0.0022669124882668257,6.894738180562854e-05,0.007200921420007944
0.0026117227971553802,4.930578143103048e-05,0.007936648093163967
0.002733025699853897,0.00010710058268159628,0.00838699284940958
0.003950436599552631,2.3258466171682812e-05,0.012400626204907894
0.0022761246655136347,6.173808651510626e-05,0.00738341361284256
0.0023946089204400778,4.500494833337143e-05,0.007777773775160313
0.0020451620221138,3.1461353501072153e-05,0.006399643607437611
0.002301720902323723,0.00017442498938180506,0.007326886057853699
0.0034910449758172035,5.246229193289764e-05,0.010953735560178757
0.0019280589185655117,2.088764449581504e-05,0.00608022091910243
0.0021189155522733927,4.6578650653827935e-05,0.006873222067952156
0.0025993958115577698,4.564486152958125e-05,0.00843474268913269
0.00222438620403409,2.4375069187954068e-05,0.0066674137488007545
0.0022487931419163942,1.9543189409887418e-05,0.006966114044189453
0.002504514530301094,9.683254756964743e-05,0.007655047811567783
0.002333991462364793,7.020229531917721e-05,0.0075671495869755745
0.0023388403933495283,1.1265564353379887e-05,0.00753272557631135
0.0020273085683584213,3.4684184356592596e-05,0.006437819451093674
0.0022289915941655636,1.4934247701603454e-05,0.006920487619936466
0.002861191751435399,1.310260449827183e-05,0.008686251938343048
0.001999820116907358,9.989098543883301e-06,0.006359034683555365
0.00243370421230793,2.2548498236574233e-05,0.00828616414219141
0.002087045693770051,3.137160820188001e-05,0.006734401918947697
0.002357113640755415,1.3694580047740601e-05,0.007696104235947132
0.0022269233595579863,2.3566142772324383e-05,0.006994950585067272
0.004244636744260788,1.4193813512974884e-05,0.012972763739526272
0.0014974013902246952,7.191160875663627e-06,0.004820601548999548
0.0031041342299431562,2.9589731639134698e-05,0.009674396365880966
0.002959461649879813,2.027375012403354e-05,0.009345483034849167
0.0026929781306535006,2.1209963961155154e-05,0.008902820758521557
0.0017466875724494457,3.855915565509349e-05,0.005621389485895634
0.002447179052978754,5.406990021583624e-05,0.008394453674554825
